teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,cleaned_teaching,cleaned_coursecontent,cleaned_Examination,cleaned_labwork,cleaned_library_facilities,cleaned_extracurricular
1,It's good when compare with my Btech lectures and teaching activities.,0.0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,1.0,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",-1,Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,1.0,Good,1,While coming to extracurriculum activities it's better than any other university which I had come around.,its good when compare my btech lectures teaching activities,knowledge depth course good while coming material its not upto mark,this university far better than other university when coming exam patternmarks disturbation while coming paper checking no biased corrections equal all,lab practical not upto mark topic which practiced almost already done btech,good,while coming extracurriculum activities its better than any other university which i had come around
1,Good,0.0,"Knowledge,depth of course is good but course material are not upto the mark",1.0,Great,-1,Not upto the mark,1.0,Good,1,Awesome,good,knowledgedepth course good course material not upto mark,great,not upto mark,good,awesome
1,way of teaching is good,1.0,course content is knowledgeable ,1.0,exam pattern is good and good paper checking.,-1,lab improves practical knowledge,1.0,good library facilities,1,ok,way teaching good,course content knowledgeable,exam pattern good good paper checking,lab improves practical knowledge,good library facilities,ok
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. ",-1.0,Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,0.0,Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0,Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,1.0,Library facilities are very good. No issues ,1,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ,university teaching here very much dependent upon slidesthough it easy way teaching still leaving some concepts unclearotherwise interaction faculty goodlecture delivery sometimes not upto mark punctuality fine,content courses good some courses need improvement course material not upto mark,pattern procedure examination very good paper checking needed be improved,sometimes systems labs screwed up otherwise everything their respected desk,library facilities very good no issues,this university no terms extracurricular activities encouraging students participate their comfort levels
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Hardworking,1,Good,good,good,good,good,hardworking,good
1,Good ,1.0,Very good,1.0,Excellent ,1,Good,1.0,Good,1,Good,good,very good,excellent,good,good,good
1,As compared to other colleges and university our university is perfect in all the aspects,-1.0,Material of the course is not good enough ,1.0,Good,1,Practical work is fair,1.0,Excellent,1,Great job,as compared other colleges university our university perfect all aspects,material course not good enough,good,practical work fair,excellent,great job
1,Good,-1.0,sometimes proper course material is not required.,1.0,Good,1,Good,1.0,Good,1,excellent,good,sometimes proper course material not required,good,good,good,excellent
1,Lectures helps in clear our concept,1.0,Easily available course material with sufficient knowledge gaining,1.0,Good marks distribution Students can easily check there performance throught the semester,1,Practical and easy learning,1.0,Good,1,Its give various opportunities and exposure,lectures helps clear our concept,easily available course material sufficient knowledge gaining,good marks distribution students can easily check there performance throught semester,practical easy learning,good,its give various opportunities exposure
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",1.0,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",0.0,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",-1,"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",0.0,Again some of the faculties don't know how to behave otherwise it is good.,0,This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,talk about punctuality its really good lecture delivery somehow not appreciated because every teacher has different style teaching so lack knowledge terms subject there interaction also kind boring teacher should be entertaining as well they really not all they want us be studios disciplined which really not thinking every student,materials links provided study purpose good clarity depth courses again it differs teacher teacher,exam pattern how it conducted really seems be good its my first year when i went scrutiny first time it not as per my expectations teachers have marked answers as per their choice they must look content rather than length answers so poor paper checking there,evaluation again bad our ca as one our faculty really weird he gives us remarks basis how we present things front it he never look content our answer which really annoying as he expects us deliver answer way he wants us do how can person do that as people do have different mentality they do explain themselves different manner so teacher must understand that quality child should give him marks basis what they say not what they should say,again some faculties dont know how behave otherwise it good,this really good thing that events happen our university regularly they must be announced early so that every student can prepare themselves participation because sometimes we get know about most events when they have already been conducted so announcement must be there
1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",1.0,The course notes are very knowledgeable and proper.,1.0,Descent.,1,Good.,1.0,Descent.,1,Good.,university very good delivering proper lecturesalso interaction students descent sometimes teachers lack terms punctuality overall university giving good input,course notes very knowledgeable proper,descent,good,descent,good
1,Good,1.0,Good,1.0,Excellect,1,Good,1.0,Good,1,Good,good,good,excellect,good,good,good
1,Good,1.0,Good,1.0,Excellect,1,Good,1.0,Good,1,Good,good,good,excellect,good,good,good
1,lecturer are punctual and can interact them easily.,1.0,content of the courses are update and mostly based on current technology.,1.0,exam pattern and marks distribution is very well procedure,1,well and good infrastructure and have trending software in lab    ,1.0,library is very well managed and provide needed facilities to us,1,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,lecturer punctual can interact them easily,content courses update mostly based current technology,exam pattern marks distribution very well procedure,well good infrastructure have trending software lab,library very well managed provide needed facilities us,extracurricular activities held university necessary it provides student platform where they can improve groom them
1,Good,-1.0,Needs some improvement,1.0,Good,1,Good,-1.0,Its required some libral in rules,1,Good it provides a great platform,good,needs some improvement,good,good,its required some libral rules,good it provides great platform
1,Good,1.0,Good,0.0,Average,0,Average,1.0,They are doing there job well,1,Good,good,good,average,average,they doing there job well,good
0,Punctuality is good. Most of the teachers are not interacting with students .,-1.0,Teachers are not giving depth of course . They trying to cover there work only .,1.0,It is statisfactory.,-1,3 hours practical is so long. It should be of 2 hours only ,-1.0,"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",1,They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,punctuality good most teachers not interacting students,teachers not giving depth course they trying cover there work only,it statisfactory,hours practical so long it should be hours only,well all books not avilable if they library books less number strength student large,they really very intersting all students enjoys alot get chance showcase there talent
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Good,1,Good,good,good,good,good,good,good
1,nice,1.0,good,-1.0,not so good,1,ok ok,-1.0,all books are not available,1,Awesome,nice,good,not so good,ok ok,all books not available,awesome
-1,lecture delivery is not so good,1.0,every thing is fine,1.0,all good,-1,practicle must be of 2 hours,-1.0,the system in library usually does not work . so it creates a problem for us to issue the book,1,its good for refreshment ,lecture delivery not so good,every thing fine,all good,practicle must be hours,system library usually does not work so it creates problem us issue book,its good refreshment
1,It's good,1.0,It's appreciable,-1.0,"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",1,"It's good 
Also depends on teacher's knowledge and student's interest",-1.0,"Sometimes only book is available for some subjects
And it is reserved",1,"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",its good,its appreciable,not that much good students working so hard they arent getting satisfactory result,its good also depends teachers knowledge students interest,sometimes only book available some subjects it reserved,its appreciable students who having interest co curricular activities getting good platform
1,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",1.0,Satisfied,0.0,All are good except paper checking. It should be improved,1,All good,1.0,Its very helpful,1,All good,discipline punctuality lecture delivery all good hv do some work quality lecture,satisfied,all good except paper checking it should be improved,all good,its very helpful,all good
0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",-1.0,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,1.0,Overall all these things are the plus point of the university,0,Average ,1.0,"Awesome, peaceful, relaxing atmosphere",0,Good but lacks audience.....as only participants can see these activities on duty leave basis,interaction very goodaccurate supplement material provided recommendation books very poorthe change particular teacher after months semester same subject causes problems,books that recommended do not contain appropriate content leads students depend slides given teachers hence knowledge remains superficial,overall all these things plus point university,average,awesome peaceful relaxing atmosphere,good lacks audienceas only participants can see these activities duty leave basis
1,Perfect,1.0,Awesome,1.0,Notbad,-1,Too much lanlb file work,-1.0,All books are not available,1,Perfect,perfect,awesome,notbad,too much lanlb file work,all books not available,perfect
1,It is really gud,1.0,It is proper,1.0,It is very gud,0,Evaluation method is gud.But the content is more to write in file,-1.0,I think number of books are very less according to the students .Only 2-3 copies are available.,1,All the activities are gud and appropriate for students,it really gud,it proper,it very gud,evaluation method gudbut content more write file,i think number books very less according students only copies available,all activities gud appropriate students
0,Very good teaching and management but too much load on student and working hours,1.0,Courses are very good and useful ,0.0,Examination pattern is good but marks distribution very confusing,1,excellent,1.0,good,1,very good,very good teaching management too much load student working hours,courses very good useful,examination pattern good marks distribution very confusing,excellent,good,very good
-1,in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,1.0,Its good,1.0,"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",1,Its good,1.0,Thats good,0,"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",terms lecture delivery that goodin terms punctuality that also good terms intraction that very bad there some teachers they donot interact do not litsn our problms that means they do not coprate,its good,exam pattren good marks distribution also good bt paper cheacking very tight,its good,thats good,thats good problm whenever university functions like one india one world held we not alowed go because we have attend classes if we miss classes we will gona loose attendence everyone knows lpu attendnce very important thanx
1,According to me everything is going well in accordance to interaction.More than enough is served. ,1.0,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,1.0,Everything is fine. ,0,I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,-1.0,I think stock is not enough more books are required. ,-1,Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,according me everything going well accordance interactionmore than enough served,everything fine every thing taught deptheven single point elaborated enough understand,everything fine,i think electrotherapy practical should be hoursthats enough i thinkrest fine,i think stock not enough more books required,chance go enjoy should be giveni think it should be off when any activity like one india there go enjoyotherwise everything good
0,Very good teaching and management but too much load on student and working hours,1.0,Courses are very good and useful ,0.0,Examination pattern is good but marks distribution very confusing,1,excellent,1.0,good,1,very good,very good teaching management too much load student working hours,courses very good useful,examination pattern good marks distribution very confusing,excellent,good,very good
-1,not effective and satisfactory in terms of lecture delivery by all the faculty .,1.0,content is good enough,1.0,satisfactory ,-1,lab duration of 3 hours is very long . ,1.0,very cooperative ,-1,extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,not effective satisfactory terms lecture delivery all faculty,content good enough,satisfactory,lab duration hours very long,very cooperative,extracurricular activies should be held when there no classes students attend so that every student can enjoy participate events
1,Good,1.0,Good,1.0,Good,0,Average,1.0,Nice,1,Good,good,good,good,average,nice,good
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Good,1,Good,good,good,good,good,good,good
1,Accurate,1.0,Accurate,1.0,Very good,1,Good,1.0,Satisfactory,1,Good,accurate,accurate,very good,good,satisfactory,good
1,It's good,1.0,Accurate,1.0,Very good,1,It's good,1.0,Fine ,1,Good,its good,accurate,very good,its good,fine,good
1,Good,1.0,Perfect,1.0,Accurate,1,It's good,1.0,Fine,1,Good,good,perfect,accurate,its good,fine,good
1,it is good depending on the faculty,1.0,the material provided is beneficial and provides much knowledge,0.0,it is neither too good nor too bad,1,lab evaluations are pretty good .they help us a lot.,1.0,library facilities provided are excellent,1,they are amazing and help to boost our stamina.,it good depending faculty,material provided beneficial provides much knowledge,it neither too good nor too bad,lab evaluations pretty good they help us lot,library facilities provided excellent,they amazing help boost our stamina
1,"maintained punctuality, good lecture delivery",1.0,fully knowledgeable,1.0,exam pattern is good and good paper checking.,1,having good material in labs.,1.0,good facilities,1,increasing confidence,maintained punctuality good lecture delivery,fully knowledgeable,exam pattern good good paper checking,having good material labs,good facilities,increasing confidence
0,average,1.0,good,1.0,Excellent ,1,too much good,0.0,average,0,average,average,good,excellent,too much good,average,average
0,average,1.0,good,1.0,good,1,good,1.0,better,1,best,average,good,good,good,better,best
1,good,1.0,well planned,1.0,good,0,average,1.0,excellent,1,good,good,well planned,good,average,excellent,good
1,good,1.0,good,1.0,good,-1,it is difficult to understand experiment in 1 hour,1.0,good,1,good,good,good,good,it difficult understand experiment hour,good,good
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
1,good,1.0,ok,1.0,good,1,good,-1.0,some books are not available. So please provide,1,ok,good,ok,good,good,some books not available so please provide,ok
0,average,1.0,good,1.0,good,1,good,1.0,there are doing there job good,1,good,average,good,good,good,there doing there job good,good
1,good,0.0,average,1.0,Excellent ,1,lab work is also good,1.0,all are hardworking and punctual,0,average,good,average,excellent,lab work also good,all hardworking punctual,average
1,"it is quite good , depending on teacher and their experience",1.0,content is very knowledgable and gives us huge knowledge of every subject,1.0,"examination pattern, marks, paper checking is good.",1,lab work is quite good,1.0,Excellent,1,extracurricular activities are good.,it quite good depending teacher their experience,content very knowledgable gives us huge knowledge every subject,examination pattern marks paper checking good,lab work quite good,excellent,extracurricular activities good
1,"it is quite good , depends upon teacher and their experience",1.0,"content is enough, we donot need more.",-1.0,"too many examination, we are frustrated",0,lab activities are good but not satisfactory in explaining point of view.,1.0,library is awesome and rich,0,"good it is, but teachers do not consider the new ones.",it quite good depends upon teacher their experience,content enough we donot need more,too many examination we frustrated,lab activities good not satisfactory explaining point view,library awesome rich,good it teachers do not consider new ones
1,the way of teaching is good but the time more than enough,0.0,good quallity content but some teachers donot upload ppts on time,0.0,too much examinations,1,helps in improving skills,1.0,they are good,1,it is good,way teaching good time more than enough,good quallity content some teachers donot upload ppts time,too much examinations,helps improving skills,they good,it good
1,good teaching delivery,1.0,course content is good,0.0,average,1,lab work is nice.,1.0,library facility is good,1,extracurrcular activities held in university is good.,good teaching delivery,course content good,average,lab work nice,library facility good,extracurrcular activities held university good
1,"good, teacher is delivery the lecture in the best way they can",1.0,the content of the course is knowledgeable,1.0,examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,1,practical work including evaluations are good so that students can learn about practicals.,1.0,library facilities are good for students.,1,"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",good teacher delivery lecture best way they can,content course knowledgeable,examination including exam pattern good some waysmcqs shouls given students preparation exams,practical work including evaluations good so that students can learn about practicals,library facilities good students,super extracurricular activities held university so that student can show efforts other fields
0,good and qualified teachers but few lacks in interaction with students and fails to describe a topic,0.0,subjects are appropriate but much depth is required as syllabus includes only basics not the details,-1.0,the level of examination should be raised. Questions with reasoning must be included,1,laboratory provides us a good knowledge about practicals.,1.0,very good library facilities. Issuing time of book must be increased,1,good and ample number of extracurricular activities take place,good qualified teachers few lacks interaction students fails describe topic,subjects appropriate much depth required as syllabus includes only basics not details,level examination should be raised questions reasoning must be included,laboratory provides us good knowledge about practicals,very good library facilities issuing time book must be increased,good ample number extracurricular activities take place
0,average,1.0,good,1.0,ok,1,good,1.0,good,1,good,average,good,ok,good,good,good
1,"very good teaching facilities, lecture given are fruitful and teachers are punctual",-1.0,some courses are irrelevant as they are not related to my stream.,1.0,fair marking scheme and adaptable pattern,-1,practical work insome labs are not upto the marks,-1.0,more books should be provided and the issue period should be increased,0,they are good but they should give exposure to more students and not the same.,very good teaching facilities lecture given fruitful teachers punctual,some courses irrelevant as they not related my stream,fair marking scheme adaptable pattern,practical work insome labs not upto marks,more books should be provided issue period should be increased,they good they should give exposure more students not same
0,interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,-1.0,there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,0.0,pattern of examination is good but paper checking is not at all going in a good way.,0,labs are good but experiments are not very informative,1.0,very good library facilities. Issuing time of book must be increased,1,excellent,interaction good not mostly male lecturerspunctuality maintained everyone lecture delivery not peak quality,there many courses which irrelevant branch some topics not covered there no proper material any course,pattern examination good paper checking not all going good way,labs good experiments not very informative,very good library facilities issuing time book must be increased,excellent
1,all things are good,1.0,not too bad,-1.0,there should not be negative marking,-1,the labs are not practically built,0.0,never went there,0,I donot participate,all things good,not too bad,there should not be negative marking,labs not practically built,never went there,i donot participate
1,all things are good,1.0,not too bad,1.0,all things are good,1,good,1.0,they are good,0,I donot participate,all things good,not too bad,all things good,good,they good,i donot participate
1,all activties are good,1.0,course material is perfect,-1.0,there should not be negative marking,1,practical work is good,-1.0,book issuing time should be increased for 2 weeks,1,all are enough,all activties good,course material perfect,there should not be negative marking,practical work good,book issuing time should be increased weeks,all enough
1,all activties are good,1.0,not bad,-1.0,there should not be negative marking,1,good,1.0,good,1,all activities are good,all activties good,not bad,there should not be negative marking,good,good,all activities good
1,good,1.0,good,1.0,not bad,1,super,1.0,excellent,1,good,good,good,not bad,super,excellent,good
1,All is good. no other university is so serious about the concept of practicals.,1.0,IP is provided to the students which is very helpful for the students.,1.0,All is good .,1,This is the best in our university because there is no other university which takes seriously for practical work.,0.0,Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,1,More than best,all good no other university so serious about concept practicals,ip provided students which very helpful students,all good,this best our university because there no other university which takes seriously practical work,really our library provides very good facilites students teachers fine system not good it directly increased upto this not good thing,more than best
1,"lecture delivery depends on teacher's knowledge, punctuality is good",0.0,depth of course is less on the other hand knowledge and material is good,1.0,"I like it , i am satisfied all these work",-1,"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",1.0,Its good and proper design,1,Its upto mark and very efficiently held in our university,lecture delivery depends teachers knowledge punctuality good,depth course less other hand knowledge material good,i like it i am satisfied all these work,some time lab not proper working some teachers practical knowledge less other side evaluations not that much good,its good proper design,its upto mark very efficiently held our university
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Good,1,Good,good,good,good,good,good,good
1,way of teaching is average,-1.0,content does not provide deep knowledge,1.0,excellent ,1,satisfactory,1.0,Excellent,1,provides good platform to interested students,way teaching average,content does not provide deep knowledge,excellent,satisfactory,excellent,provides good platform interested students
-1,not so good,0.0,average,1.0,quite good,-1,very poor.no equipments are there,1.0,good,-1,no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,not so good,average,quite good,very poorno equipments there,good,no comments because when you participiate you get reappear backlog no time given exam preparation
0,average,-1.0,sometime it is irrelevent with the ongoing courses.,1.0,good,-1,poor,0.0,average,-1,"the activities are very good but no time is given to students for participation, so its of no use",average,sometime it irrelevent ongoing courses,good,poor,average,activities very good no time given students participation so its no use
1,good,0.0,average(in one term there should be only two major subjects based on numerical),-1.0,very poor,-1,very poor.no equipments are there,1.0,average,0,average,good,averagein one term there should be only two major subjects based numerical,very poor,very poorno equipments there,average,average
1,the staff is highly punctual ad interactive and encourage students to participate in the class,0.0,some of them are very helpful and knowledgeable and some are just formality,1.0,exam pattern is good and good paper checking but paper checking can be improved,-1,lab practicals and evaluations are below average and need lot of changes and improvements,1.0,library contains all the books regarding courses and other materials and very cooperative library staff,1,lot of activities and students get exposure in games.,staff highly punctual ad interactive encourage students participate class,some them very helpful knowledgeable some just formality,exam pattern good good paper checking paper checking can be improved,lab practicals evaluations below average need lot changes improvements,library contains all books regarding courses other materials very cooperative library staff,lot activities students get exposure games
1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",0.0,"very knowledgeable, some subjects do not have dedicated material like books available",1.0,"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",-1,lab practical work can further be improved so that it can meet industrial standards,1.0,all the books are easily available and accessable and the limit of book issued need to be increased,1,too many activities are conducted and student get ample amount of opportunities to participate,staff faculty members always available interaction very punctual delivery lecture can be improved,very knowledgeable some subjects do not have dedicated material like books available,exam pattern good very well marks distribution paper checking varies faculty faculty,lab practical work can further be improved so that it can meet industrial standards,all books easily available accessable limit book issued need be increased,too many activities conducted student get ample amount opportunities participate
1,good delivery,1.0,optimum content,1.0,all excellent,1,excellent work,1.0,all are good,1,they are going excellent,good delivery,optimum content,all excellent,excellent work,all good,they going excellent
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
1,"our university is good in terms of lecture delivery,interaction and punctuality",1.0,very good,1.0,Excellent ,1,good,1.0,library facilities are good . Every book is available in the library,1,good,our university good terms lecture deliveryinteraction punctuality,very good,excellent,good,library facilities good every book available library,good
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
1,very good,1.0,very good,1.0,good,1,very good,1.0,very good library facilities. Issuing time of book must be increased,1,excellent,very good,very good,good,very good,very good library facilities issuing time book must be increased,excellent
1,good,-1.0,it is not appropriate,0.0,marks distribution is good but paper checking is not that well,-1,its hard to find a computer working in lab. Students cannot save data in one single PC,-1.0,"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",0,not much interested,good,it not appropriate,marks distribution good paper checking not that well,its hard find computer working lab students cannot save data one single pc,as per libraries few books not available computer library there hardly pcs working,not much interested
1,"interaction satisfied, lecture delivery good,punctuality always on time",1.0,Satisfied knowedgeable and proper course material,1.0,satisfied,1,good,1.0,good,1,very good,interaction satisfied lecture delivery goodpunctuality always time,satisfied knowedgeable proper course material,satisfied,good,good,very good
1,Excellent but it depends upon teacher,1.0,"Good, but there should be at least one a practical subject in every semester",1.0,Excellent,-1,"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",1.0,Excellent,1,Excellent,excellent it depends upon teacher,good there should be least one practical subject every semester,excellent,not good becouse lab teachers donot teach us how work live projects how make live project so i have ovserved that whatever teachers have been teachig us lab that will not usefull our future life,excellent,excellent
1,good,1.0,Yes,1.0,Good,-1,not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,-1.0,books are less,-1,bcoz of lectures..we don't get time to participate..,good,yes,good,not goodthe timing too much labs syllabus also so vastwe dont get propr revision,books less,bcoz lectureswe dont get time participate
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good,good,good,good,good,good
1,Good,1.0,Good,-1.0,Very Tough,1,Good,1.0,Excellent,0,Average,good,good,very tough,good,excellent,average
1,good,1.0,good,1.0,good,1,good,1.0,excellent,1,good,good,good,good,good,excellent,good
1,Good,1.0,Good,1.0,Excellent,1,Good,1.0,Good,1,Good,good,good,excellent,good,good,good
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Good,1,Good,good,good,good,good,good,good
1, very good.,1.0, good.,1.0,good.,1,satisfactory.,1.0,good.,1,good.,very good,good,good,satisfactory,good,good
1,it is ok,-1.0,it is not very deep,1.0,it is good,-1,i hate it,1.0,i love it,1,very good,it ok,it not very deep,it good,i hate it,i love it,very good
-1,some teachers aren't doing their jobs in very well manner,1.0,course contents are very much relevant to our courses,-1.0,bad,1,very good,-1.0,i think library facilities are only for hostelers ,-1,"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
",some teachers arent doing their jobs very well manner,course contents very much relevant our courses,bad,very good,i think library facilities only hostelers,i also want participate that activities i cant take part those activities because im day scholar
1,Some of the teachers are not well experienced but they are interactive and helpful and punctual.,0.0,The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,0.0,Examination pattern is good but mcq paper checking marks are not correct sometimes.,-1,Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,-1.0,Capacity of library is less compared to size of university.,1,Extracurricular activities are good and provide a  good platform.,some teachers not well experienced they interactive helpful punctual,course structure good follows todays technology some subjects portion too vast difficult cover sem,examination pattern good mcq paper checking marks not correct sometimes,practical work interesting different teachers evaluate their own way some teachers some section give marks without taking viva some does not give marks accordingly,capacity library less compared size university,extracurricular activities good provide good platform
